Categorisation,Subcategories,Barcode,Name,Form,Product code ,SDS,Cas_No1,"Content1
(% )",Cas_No2,"Content2
(% )",Cas_No3,"Content3
(% )",Cas_No4,"Content4
(% )",Cas_No5,"Content5
(% )",Cas_No6,"Content6
(% )",Cas_No7,"Content7
(% )",Cas_No8,"Content8
(% )",Cas_No9,"Content9
(% )",Cas_No10,"Content10
(% )",Cas_No11,"Content11
(% )",Cas_No12,"Content12
(% )"
Washroom and house keeping products?(61),Air Freshener (9),,Air Freshener Fresh Wild Berry Trigger Spray 750m ,Liquid,MFB143 ,https://media.supplychain.nhs.uk/media/documents/MFB143/COSHH/59133_MFB143.pdf,,,,,,,,,,,,,,,,,,,,,,,,
Bleach and disinfectant products?(15),Bleach (4),,Bleach Evans 5 ltr concentrate ,Liquid,MFB146 ,https://media.supplychain.nhs.uk/media/documents/MFB146/COSHH/64820_MFB146.pdf,7681-52-9,3 to 5,,,,,,,,,,,,,,,,,,,,,,
Bleach and disinfectant products?(15),Disinfectant (4),,Disinfectant E-Pine 5ltr concentrate QAP 50 ,Liquid,MFB147 ,https://media.supplychain.nhs.uk/media/documents/MFB147/COSHH/64821_MFB147.pdf,68439-45-2,0.1 to 1,68424-85-1,0.1 to 1,5989-54-8,0.1 to 1,8006-64-2,<0.1,,,,,,,,,,,,,,,,
Washroom and house keeping products?(61),Air Freshener (9),,Air Freshener Toscane 500ml ,Liquid,MFB154 ,https://media.supplychain.nhs.uk/media/documents/MFB154/COSHH/66269_MFB154.pdf,106-97-8,3 to 10,112-03-8,0.01 to 0.1,55965-84-9,<0.01,,,,,,,,,,,,,,,,,,
Hard surface cleaning products(18),Hard Surface Cleaner (14),,Hard Surface Cleaner High Class PH neutral citrus fragrance 5ltr concentrate ,Liquid,MFB159 ,https://media.supplychain.nhs.uk/media/documents/MFB159/COSHH/64829_MFB159.pdf,68891-38-3,1 to 3,68439-57-6,1 to 3,68439-45-2,1 to 3,2634-33-5,<0.1,,,,,,,,,,,,,,,,
Washroom and house keeping products?(61),Washroom Cleaner (13),,Washroom Cleaner Passes Complies with EN1276 PH Neutral Floral Fragrance Trigger Spray 750ml ,Liquid,MFB161 ,https://media.supplychain.nhs.uk/media/documents/MFB161/COSHH/64822_MFB161.pdf,68424-85-1?,0.1 to 1,,,,,,,,,,,,,,,,,,,,,,
Bleach and disinfectant products?(15),Detergent Sanitizer (7),,Detergent Sanitizer Protect Complies with EN1276 trigger spray 750ml ,Liquid,MFB166 ,https://media.supplychain.nhs.uk/media/documents/MFB166/COSHH/64830_MFB166.pdf,68131-39-5,0.1 to 1,68424-85-1,0.1 to 1,,,,,,,,,,,,,,,,,,,,
Washroom and house keeping products?(61),Odour Neutraliser (2),,Odour Neutraliser Odour Neutraliser Non enzyme based complies with EN1276 5ltr ,Liquid,MFB167 ,https://media.supplychain.nhs.uk/media/documents/MFB167/COSHH/56872_MFB167.pdf,68439-46-3,1 to 3,27083-27-8,0.1 to 1,,,,,,,,,,,,,,,,,,,,
Washroom and house keeping products?(61),Toilet Cleaner (18),,Toilet Cleaner Everfresh Pot Pourri PH neutral for frequent use angled neck 1ltr bottle ,Liquid,MFB173 ,https://media.supplychain.nhs.uk/media/documents/MFB173/COSHH/64823_MFB173.pdf,68891-38-3,3 to 5,,,,,,,,,,,,,,,,,,,,,,
Washroom and house keeping products?(61),Glass Cleaner (4),,Glass Cleaner Clear. PH neutral also cleans mirrors streak free trigger spray 750ml ,Liquid,MFB174 ,https://media.supplychain.nhs.uk/media/documents/MFB174/COSHH/59067_MFB174.pdf,67-63-0,10 to 15,111-76-2,1 to 3,,,,,,,,,,,,,,,,,,,,
Washroom and house keeping products?(61),Air Freshener (9),,Air Freshener Fresh Apple Aerosol 400ml ,Aerosol,MFB175 ,https://media.supplychain.nhs.uk/media/documents/MFB175/COSHH/58863_MFB175.pdf,106-97-8,60 to 100,64-17-5,5 to 10,,,,,,,,,,,,,,,,,,,,
Hard surface cleaning products(18),Hard Surface Cleaner (14),,Hard Surface Cleaner Mystrol Heavy Duty lemon fragrance trigger spray 750ml ,Liquid,MFB176 ,https://media.supplychain.nhs.uk/media/documents/MFB176/COSHH/66350_MFB176.pdf,107-98-2,0.1 to 1,141-43-5,0.1 to 1,8006-64-2,<0.1,,,,,,,,,,,,,,,,,,
Catering hygiene products?(7),Detergent Sanitizer (2),,Detergent Sanitizer Esteem. Unperfumed complies with EN1276 5ltr concentrate ,Liquid,MFB177 ,https://media.supplychain.nhs.uk/media/documents/MFB177/COSHH/58861_MFB177.pdf,68131-39-5,3 to 5,68424-85-1,3 to 5,,,,,,,,,,,,,,,,,,,,
Bleach and disinfectant products?(15),Detergent Sanitizer (7),7.6154E+12,Detergent Sanitizer Bac d10 smart dose 1.4ltr ,Liquid,MFB178 ,https://media.supplychain.nhs.uk/media/documents/MFB178/COSHH/66147_MFB178.pdf,68424-85-1,3 to 10,69011-36-5,3 to 10,497-19-8,1 to 3,,,,,,,,,,,,,,,,,,
Washroom and house keeping products?(61),Glass Cleaner (4),,Glass Cleaner Hospec trigger spray 750ml ,Liquid,MFB186 ,https://media.supplychain.nhs.uk/media/documents/MFB186/COSHH/66419_MFB186.pdf,,,,,,,,,,,,,,,,,,,,,,,,
Catering hygiene products?(7),Detergent Sanitizer (2),5.05503E+12,Detergent Sanitizer Esteem Unperfumed complies with EN1276 trigger spray 750ml ,Liquid,MFB197 ,https://media.supplychain.nhs.uk/media/documents/MFB197/COSHH/59207_MFB197.pdf,68131-39-5,0.1 to 1,68424-85-1,0.1 to 1,,,,,,,,,,,,,,,,,,,,
Bleach and disinfectant products?(15),Bleach (4),5.01016E+12,Bleach Hospec general purpose thick bleach 750ml angled neck bottle ,Liquid,MFB198 ,https://media.supplychain.nhs.uk/media/documents/MFB198/COSHH/58670_MFB198.pdf,7681-52-9,3 to 5,68891-38-3 ,0 to 2.5,1310-73-2,0 to 2.5,61788-90-7,0 to 2.5,,,,,,,,,,,,,,,,
Hard surface cleaning products(18),Hard Surface Cleaner (14),7.6154E+12,Hard Surface Cleaner Sprint 200 smartdose 1.4 ltr ,Liquid,MFB218 ,https://media.supplychain.nhs.uk/media/documents/MFB218/COSHH/59328_MFB218.pdf,67-63-0,3 to 10,2634-33-5,<0.01,,,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),High Level Disinfectant?(1),5.02907E+12,High Level Disinfectant Concentrate fragranced 5 litre ,Liquid,MFB244 ,https://media.supplychain.nhs.uk/media/documents/MFB244/COSHH/32283_MFB244.pdf,27083-27-8 ,<10,68424-85-1,<10%,7173-51-5,,,,,,,,,,,,,,,,,,,
Hard surface cleaning products(18),Chlorine Releasing Tablets (1),7.6154E+12,Chlorine Releasing Tablets Chlor plus 200 effervescent tablets in tub ,Solid,MFB247 ,https://media.supplychain.nhs.uk/media/documents/MFB247/COSHH/59823_MFB247.pdf,2893-78-9,50 to 75,124-04-9,10 to 20,12068-03-0,3 to 10,137-16-6,1 to 3,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Environmental disinfection (31),5.06022E+12,Environmental disinfection Chlorine releasing granules 500g,Tablet,MFB253 ,https://media.supplychain.nhs.uk/media/documents/MFB253/COSHH/64979_MFB253.pdf,2893-78-9,30 to 60,,,,,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Environmental disinfection (31),5.06022E+12,Environmental disinfection Chlorine releasing tablets (200 x 1.7g NaDCC tablets) ,Tablet,MFB254 ,"https://media.supplychain.nhs.uk/media/documents/MFB254/COSHH/64980_MFB254.pdf
",2893-78-9,30 to 60,124-04-9,10 to 30,497-19-8,1 to 5,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Environmental disinfection (31),5.06022E+12,Environmental disinfection Chlorine releasing tablets (100 x 2.5g NaDCC tablets) ,Tablet,MFB255 ,https://media.supplychain.nhs.uk/media/documents/MFB255/COSHH/64981_MFB255.pdf,2893-78-9,30 to 60,124-04-9,10 to 30,497-19-8,1 to 5,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Environmental disinfection (31),5.06022E+12,Environmental disinfection Chlorine releasing tablets with detergent (100 x 1.7g NaDCC tablets),Tablet,MFB256 ,https://media.supplychain.nhs.uk/media/documents/MFB256/COSHH/64982_MFB256.pdf,2893-78-9,30 to 60,124-04-9,10 to 30,104-15-4,5 to 10,137-16-6,1 to 5,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Environmental disinfection (31),5.06022E+12,Environmental disinfection Diluter bottle 1 litre with lid for use with SoChlor tablets,N/A,MFB257 ,,,,,,,,,,,,,,,,,,,,,,,,,
Washroom and house keeping products?(61),Air Freshener (9),,Air Freshener Room care r5 ready to use 750ml ,Liquid,MFB293 ,https://media.supplychain.nhs.uk/media/documents/MFB293/COSHH/70826_MFB293%20M.S.D.S.pdf,2634-33-5,0.01 to 0.1,,,,,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Environmental disinfection (31),5.06022E+12,Environmental disinfection Chlorine releasing tablets with detergent (200 x 1.7g NaDCC tablets) ,Tablet,MFB294 ,https://media.supplychain.nhs.uk/media/documents/MFB294/COSHH/64983_MFB294.pdf,2893-78-9,30 to 60,124-04-9,10 to 30,497-19-8,0 to 8,1934-21-0,0.0 to 0.4,Unknown,<3,,,,,,,,,,,,,,
Advanced infection control solutions (91),Environmental disinfection (31),5.06022E+12,Environmental disinfection Chlorine releasing tablets (80 x 0.5g NaDCC foil wrapped tablets) ,Tablet,MFB295 ,https://media.supplychain.nhs.uk/media/documents/MFB295/COSHH/64984_MFB295.pdf,2893-78-9,30 to 60,124-04-9,10 to 30,497-19-8,0 to 8,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),General surface cleaner (4),,General surface cleaner Difficil-S for surfaces. sporicidal disinfectant sachets 200 pairs of sachets. (200x500ml of solution when added to water),Powder,MFB296,"https://media.supplychain.nhs.uk/media/documents/MFB296/COSHH/66249_MFB296.pdf
https://media.supplychain.nhs.uk/media/documents/MFB296/COSHH/66250_MFB296_.pdf
https://media.supplychain.nhs.uk/media/documents/MFB296/COSHH/66251_MFB296_1.pdf",7758-19-2,35 to 50,151-21-3,10 to 20,497-19-8,<10,77-92-9 ,50 to 75,51580-86-0,15 to 35,,,,,,,,,,,,,,
Cleaning chemicals?(135),General surface cleaner (4),,General surface cleaner Difficil-S for surfaces. 12x500ml dispensing bottles/tops (for use to dispense PR4090),Powder,MFB297,"https://media.supplychain.nhs.uk/media/documents/MFB297/COSHH/49410_MFB297.pdf
https://media.supplychain.nhs.uk/media/documents/MFB297/COSHH/49411_MFB297_.pdf",7758-19-2,35 to 50,151-21-3,10 to 20,497-19-8,10 to 20,7647-14-5,1 to 5,77-92-9,50 to 75,51580-86-0,15 to 35,,,,,,,,,,,,
Advanced infection control solutions (91),Endoscope Detergent Alkaline(1),,Endoscope Detergent Alkaline Aer detergent (4 x 5 litre) suitable only for use in wassenburg endoscope reprocessor machines,Liquid,MFB308,https://media.supplychain.nhs.uk/media/documents/MFB308/COSHH/67905_MFB308.pdf,120313-48-6,0 to 1,,,,,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),AER Disinfectant (3),,AER Disinfectant Single shot for AER (5 Litre) ,Liquid,MFB316,https://media.supplychain.nhs.uk/media/documents/MFB316/COSHH/67626_MFB316.pdf,64-19-7,15 to 18,7722-84-1,20  to 25,79-21-0,13 to 17,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),AER Disinfectant (3),,AER Disinfectant High Level Disinfectant to be used with amity Paracetic Adic 5 system part B (10 litre bottle),Liquid,MFB317,https://media.supplychain.nhs.uk/media/documents/MFB317/COSHH/67627_MFB317.pdf,64-19-7,6 to 10,7722-84-1,20 to 30,79-21-0,4 to 6,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),AER Disinfectant (3),,AER Disinfectant Single shot High Level Disinfectant for AER's (10 litre),Liquid,MFB323,https://media.supplychain.nhs.uk/media/documents/MFB323/COSHH/67628_MFB323.pdf,64-19-7,15 to 18,7722-84-1,20  to 25,79-21-0,13 to 17,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),EWD Disinfectant?(4),,EWD Disinfectant High Level Disinfectant to be used with amity peracetic acid 5 system part B (5 litre) ,Liquid,MFB324,https://media.supplychain.nhs.uk/media/documents/MFB324/COSHH/67629_MFB324.pdf,64-19-7,6 to 10,7722-84-1,20 to 30,79-21-0,4 to 6,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Endoscope Detergent Enzymatic?(1),,Endoscope Detergent Enzymatic Rapid action economical enzymatic for use in all automated and manual operations (2.5 litre),Liquid,MFB330,https://media.supplychain.nhs.uk/media/documents/MFB330/COSHH/67632_MFB330.pdf,68439-46-3,25 to 40,,,,,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Instrument Detergent Enzymatic?(3),,Instrument Detergent Enzymatic Rapid action econimical enzymatic for use in all automated and manual operations (5 litre) ,Liquid,MFB331 ,https://media.supplychain.nhs.uk/media/documents/MFB331/COSHH/67633_MFB331.pdf,68439-46-3,25 to 40,,,,,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Instrument Detergent Enzymatic?(3),,Instrument Detergent Enzymatic Rapid action econimical enzymatic for use in all automated and manual operations (10 litre) ,Liquid,MFB332,https://media.supplychain.nhs.uk/media/documents/MFB332/COSHH/50127_MFB332.pdf,9014-01-1 .,3 to 8 ,9000-90-2,3 to 8,Unknown,10 to 30,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Instrument wipes?(3),,Instrument wipes Sporicidal action quick contact time compatible with all equipment and surfaces ,Liquid,MFB343 ,https://media.supplychain.nhs.uk/media/documents/MFB343/COSHH/67776_MFB343.pdf,,,,,,,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Instrument Detergent Enzymatic?(3),,Instrument Detergent Enzymatic Highly effective ultra economical and proven to be safe (5 Litre) ,Liquid,MFB345 ,https://media.supplychain.nhs.uk/media/documents/MFB345/COSHH/67634_MFB345.pdf,Unknown,10 to 20,1300-72-7,1 to 5,9000-90-2,0.1 to 0.5,95-14-7,0.05 to 0.2,,,,,,,,,,,,,,,,
Washroom and house keeping products?(61),Toilet Cleaner (18),,Toilet Cleaner Urinal blocks 1066 non pdcb blocks tub 3kg ,Solid,MFB357 ,https://media.supplychain.nhs.uk/media/documents/MFB357/COSHH/59296_MFB357.pdf,68411-30-3,15 to 20,106-22-9,0.1 to 1,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Degreaser (4),,Degreaser Emc plus 2 x 5 ltr,N/A,MFB359,,,,,,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Toilet Cleaner (6),,Toilet Cleaner Suitable for use as an Acidic Bactericidal Hard Surface Cleaner 1 ltr Passes EN1276,Liquid,MFB360,https://media.supplychain.nhs.uk/media/documents/MFB360/COSHH/64824_MFB360.pdf,7664-38-2?,3 to 5,68439-45-2?,1 to 3,68424-85-1,1 to 3,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Disinfectant (5),,Disinfectant Mikro chlor sanitizing powder. for catering equipment also suitable for salad washing. 500g tub.,Powder,MFB391,https://media.supplychain.nhs.uk/media/documents/MFB391/COSHH/55909_MFB391.pdf,497-19-8 ,10 to 20,51580-86-0 ,2.5 to 10,6834-92-0 ,5 to 7,25155-30-0,3 to 5,,,,,,,,,,,,,,,,
Floor care products?(36),Floor Cleaner (15),,Floor Cleaner Wash n walk suitable for catering locations 5 ltr concentrate ,Liquid,MFB394 ,https://media.supplychain.nhs.uk/media/documents/MFB394/COSHH/67728_MFB394.pdf,111905-53-4,3 to 5,34590-94-8,5 to 10,57-55-6 ,1 to 2.5,,,,,,,,,,,,,,,,,,
Floor care products?(36),Floor Cleaner and Maintainer (1),,Floor Cleaner and Maintainer Indur top for use with mop or scrubber scrubber dryer 5 ltr concentrate ,Liquid,MFB399 ,https://media.supplychain.nhs.uk/media/documents/MFB399/COSHH/67729_MFB399.pdf,90583-19-0,1 to 2.5,5131-66-8,1 to 2.5,68920-66-1,1 to 2.5,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Stainless Steel Maintainer (2),,Stainless Steel Maintainer Chromol stainless steel maintainer 500ml,Liquid,MFB403,https://media.supplychain.nhs.uk/media/documents/MFB403/COSHH/67730_MFB403.pdf,,,,,,,,,,,,,,,,,,,,,,,,
Washroom and house keeping products?(61),Toilet Cleaner (18),,Toilet Cleaner Into top xl fresh fragrance 1 ltr ,Liquid,MFB404 ,https://media.supplychain.nhs.uk/media/documents/MFB404/COSHH/55176_MFB404.pdf,5329-14-6,5 to 10,57-13-6,5 to 10,,3 to 5,,,,,,,,,,,,,,,,,,
Washroom and house keeping products?(61),Toilet Cleaner (18),,Toilet Cleaner Into top red coloured 5 ltr concentrate ,Liquid,MFB405 ,"https://media.supplychain.nhs.uk/media/documents/MFB405/COSHH/55911_MFB405.pdf
https://media.supplychain.nhs.uk/media/documents/MFB405/COSHH/66681_MFB405.pdf",5329-14-6,5 to 10,200-315-5,0 to 30,,1 to 3,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),All purpose cleaner (2),,All purpose cleaner Brial xl fresh all purpose cleaner for all washable surfaces with strong long-lasting fragrance 5l,Liquid,MFB407,https://media.supplychain.nhs.uk/media/documents/MFB407/COSHH/67731_MFB407.pdf,68891-38-3,1 to 2.5,68213-23-0,1 to 2.5,34590-94-8,1 to 2.5,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),All purpose cleaner (2),,All purpose cleaner All purpose cleaner brial xl fresh all purpose cleaner for all washable surfaces with strong long-lasting fragrance 1l,Liquid,MFB411,https://media.supplychain.nhs.uk/media/documents/MFB411/COSHH/67732_MFB411.pdf,68891-38-3,1 to 2.5,68213-23-0,1 to 2.5,34590-94-8,1 to 2.5,,,,,,,,,,,,,,,,,,
Floor care products?(36),Carpet Cleaner (8),,Carpet Cleaner Kristalin bio biological cleaner that breaks down uric acid to leave a fresh smell use in washrooms and on carpets 5L ,Liquid,MFB412 ,https://media.supplychain.nhs.uk/media/documents/MFB412/COSHH/55451_MFB412.pdf,68439-45-2,1 to 3,111-76-2 ,1 to 3,25155-30-0,1 to 3,97-53-0,0.1 to 1,8006-64-2,0.1 to 0.25,,,,,,,,,,,,,,
Cleaning chemicals?(135),Chewing gum remover (2),,Chewing gum remover Pep active special ready to use spray cleaner for removing graffiti and black marks 500ml,Liquid,MFB413,https://media.supplychain.nhs.uk/media/documents/MFB413/COSHH/55912_MFB413.pdf,67-63-0 ,10 to 15,111-76-2 ,7 to 10,90583-19-0,1 to 5,100-51-6 ,<25,,,,,,,,,,,,,,,,
Catering hygiene products?(7),Degreaser (3),,Degreaser Absorbit hd powder detergent/degreaser ,Solid,MFB414 ,https://media.supplychain.nhs.uk/media/documents/MFB414/COSHH/55178_MFB414.pdf,6834-92-0,35 to 50,497-19-8,25 to 35,10101-89-0,25 to 35,68951-67-7,1 to 3,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Detergent sanitizer (3),,Detergent sanitizer Detergent sanitizer. oasis pro 20 2ltr concentrate,Liquid,MFB419,https://media.supplychain.nhs.uk/media/documents/MFB419/COSHH/66683_MFB419.pdf,68424-85-1,5 to 10,2372-82-9 ,3 to 5,68515-73-1,1 to 2.5,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Detergent sanitizer (3),,Detergent sanitizer Detergent sanitizer. oasis pro 61d premium 2 litre concentrate,Liquid,MFB420,https://media.supplychain.nhs.uk/media/documents/MFB420/COSHH/66684_MFB420.pdf,79-33-4 ,5 to 10,68424-85-1,1 to 2.5,69227-22-1,1 to 2.5,110615-47-9,1 to 2.5,64-17-5 ,0.5 to 1,68424-85-1,0.1 to 0.25,,,,,,,,,,,,
Cleaning chemicals?(135),Dishwasher Detergent (8),,Dishwasher Detergent Dishmachine detergent solid protect metal-safe solid dishmachine detergent with excellent stain removal for soft water conditions 4.5kg,Solid,MFB422,https://media.supplychain.nhs.uk/media/documents/MFB422/COSHH/55454_MFB422.pdf,6834-92-0,35 to 50,1310-73-2,5 to 10,,,,,,,,,,,,,,,,,,,,
Dishwashing products?(46),Destainer?(3),,Destainer Pre-soak and de-stainer. dip it plus crockery presoak for use against tea and coffee stains 2.4kg,Powder,MFB428,"https://media.supplychain.nhs.uk/media/documents/MFB428/COSHH/55184_MFB428.pdf
https://media.supplychain.nhs.uk/media/documents/MFB428/COSHH/55457_MFB428.pdf",497-19-8,25 to 35,15630-89-4,20 to 25,6834-92-0,20 to 25,68213-23-0,1 to 3,,,,,,,,,,,,,,,,
Washroom and house keeping products?(61),Toilet Cleaner (18),,Toilet Cleaner Into wc super toilet bowl cleaner 750ml ,Liquid,MFB430 ,https://media.supplychain.nhs.uk/media/documents/MFB430/COSHH/55186_MFB430.pdf,7647-01-0,0 to 10,26635-93-8,1 to 3,,,,,,,,,,,,,,,,,,,,
Washroom and house keeping products?(61),Air Freshener (9),,Air Freshener Marine fragrance air freshner 2 in 1 freshens and fragrances 500ml aerosol ,Liquid,MFB456 ,https://media.supplychain.nhs.uk/media/documents/MFB456/COSHH/71077_MFB456.pdf,106-97-8,3 to 10,112-03-8,0.01 to 0.1,1336-21-6,0.01 to 0.1,55965-84-9,<0.01,75-56-9,<0.01,,,,,,,,,,,,,,
Cleaning chemicals?(135),Disinfectant (5),7.6154E+12,Disinfectant Peracetic acid in-situ kills C - difficile spores in 30 seconds at 4000ppm tablet 6.2g,Solid,MFB457,https://media.supplychain.nhs.uk/media/documents/MFB457/COSHH/64865_MFB457.pdf,15630-89-4 ,50 to 70,124-04-9,10 to 13,,,,,,,,,,,,,,,,,,,,
